country,year,incidents,fatalities,battles,vac,locations,intensity_index
Burkina Faso,2020,877,2304,243,337,424,19.2
Burkina Faso,2021,1868,2374,304,661,761,61.8
Burkina Faso,2022,2756,4246,515,637,964,100.0
Burkina Faso,2023,2360,8505,647,612,915,83.0
Burkina Faso,2024,1747,7493,606,386,744,56.6
Mali,2020,1268,2856,424,437,528,36.0
Mali,2021,1355,1913,327,498,570,39.7
Mali,2022,1904,4863,474,626,835,63.4
Mali,2023,2250,4347,467,754,979,78.2
Mali,2024,1992,4023,418,643,756,67.1
Niger,2020,550,1126,106,275,300,5.1
Niger,2021,431,1498,80,206,273,0.0
Niger,2022,989,1019,142,398,559,24.0
Niger,2023,798,1159,127,261,441,15.8
Niger,2024,786,1865,186,180,369,15.3
