country,year,inflation_pct,incidents,fatalities,battles,vac,locations,intensity_index,incidents_lag1,fatalities_lag1,intensity_lag1
Burkina Faso,2020,1.9,877,2304,243,337,424,19.2,,,
Burkina Faso,2021,3.9,1868,2374,304,661,761,61.8,877.0,2304.0,19.2
Burkina Faso,2022,13.8,2756,4246,515,637,964,100.0,1868.0,2374.0,61.8
Burkina Faso,2023,0.9,2360,8505,647,612,915,83.0,2756.0,4246.0,100.0
Burkina Faso,2024,4.2,1747,7493,606,386,744,56.6,2360.0,8505.0,83.0
Mali,2020,0.5,1268,2856,424,437,528,36.0,,,
Mali,2021,3.8,1355,1913,327,498,570,39.7,1268.0,2856.0,36.0
Mali,2022,9.7,1904,4863,474,626,835,63.4,1355.0,1913.0,39.7
Mali,2023,2.1,2250,4347,467,754,979,78.2,1904.0,4863.0,63.4
Mali,2024,3.2,1992,4023,418,643,756,67.1,2250.0,4347.0,78.2
Niger,2020,2.9,550,1126,106,275,300,5.1,,,
Niger,2021,3.8,431,1498,80,206,273,0.0,550.0,1126.0,5.1
Niger,2022,4.2,989,1019,142,398,559,24.0,431.0,1498.0,0.0
Niger,2023,3.7,798,1159,127,261,441,15.8,989.0,1019.0,24.0
Niger,2024,9.1,786,1865,186,180,369,15.3,798.0,1159.0,15.8
