year_month,event_type,incidents,year_month_dt
2020-01,Battles,46,2020-01-01
2020-01,Explosions/Remote violence,25,2020-01-01
2020-01,Protests,32,2020-01-01
2020-01,Riots,5,2020-01-01
2020-01,Strategic developments,24,2020-01-01
2020-01,Violence against civilians,91,2020-01-01
2020-02,Violence against civilians,85,2020-02-01
2020-02,Strategic developments,13,2020-02-01
2020-02,Riots,6,2020-02-01
2020-02,Explosions/Remote violence,17,2020-02-01
2020-02,Battles,62,2020-02-01
2020-02,Protests,12,2020-02-01
2020-03,Battles,70,2020-03-01
2020-03,Explosions/Remote violence,25,2020-03-01
2020-03,Protests,24,2020-03-01
2020-03,Riots,7,2020-03-01
2020-03,Strategic developments,21,2020-03-01
2020-03,Violence against civilians,109,2020-03-01
2020-04,Violence against civilians,69,2020-04-01
2020-04,Strategic developments,29,2020-04-01
2020-04,Riots,16,2020-04-01
2020-04,Explosions/Remote violence,25,2020-04-01
2020-04,Battles,79,2020-04-01
2020-04,Protests,14,2020-04-01
2020-05,Battles,79,2020-05-01
2020-05,Explosions/Remote violence,25,2020-05-01
2020-05,Protests,17,2020-05-01
2020-05,Riots,12,2020-05-01
2020-05,Strategic developments,19,2020-05-01
2020-05,Violence against civilians,83,2020-05-01
2020-06,Protests,14,2020-06-01
2020-06,Violence against civilians,80,2020-06-01
2020-06,Strategic developments,33,2020-06-01
2020-06,Explosions/Remote violence,16,2020-06-01
2020-06,Battles,67,2020-06-01
2020-06,Riots,6,2020-06-01
2020-07,Strategic developments,36,2020-07-01
2020-07,Battles,84,2020-07-01
2020-07,Explosions/Remote violence,18,2020-07-01
2020-07,Protests,20,2020-07-01
2020-07,Riots,8,2020-07-01
2020-07,Violence against civilians,92,2020-07-01
2020-08,Violence against civilians,77,2020-08-01
2020-08,Strategic developments,26,2020-08-01
2020-08,Riots,11,2020-08-01
2020-08,Protests,27,2020-08-01
2020-08,Explosions/Remote violence,15,2020-08-01
2020-08,Battles,58,2020-08-01
2020-09,Battles,62,2020-09-01
2020-09,Explosions/Remote violence,19,2020-09-01
2020-09,Protests,26,2020-09-01
2020-09,Riots,3,2020-09-01
2020-09,Strategic developments,20,2020-09-01
2020-09,Violence against civilians,90,2020-09-01
2020-10,Violence against civilians,87,2020-10-01
2020-10,Strategic developments,26,2020-10-01
2020-10,Riots,7,2020-10-01
2020-10,Protests,19,2020-10-01
2020-10,Explosions/Remote violence,20,2020-10-01
2020-10,Battles,77,2020-10-01
2020-11,Battles,48,2020-11-01
2020-11,Explosions/Remote violence,27,2020-11-01
2020-11,Protests,5,2020-11-01
2020-11,Riots,6,2020-11-01
2020-11,Strategic developments,34,2020-11-01
2020-11,Violence against civilians,108,2020-11-01
2020-12,Violence against civilians,78,2020-12-01
2020-12,Strategic developments,28,2020-12-01
2020-12,Protests,15,2020-12-01
2020-12,Explosions/Remote violence,18,2020-12-01
2020-12,Battles,41,2020-12-01
2020-12,Riots,2,2020-12-01
2021-01,Battles,45,2021-01-01
2021-01,Explosions/Remote violence,33,2021-01-01
2021-01,Protests,13,2021-01-01
2021-01,Riots,5,2021-01-01
2021-01,Strategic developments,43,2021-01-01
2021-01,Violence against civilians,91,2021-01-01
2021-02,Explosions/Remote violence,13,2021-02-01
2021-02,Battles,44,2021-02-01
2021-02,Protests,14,2021-02-01
2021-02,Riots,9,2021-02-01
2021-02,Strategic developments,29,2021-02-01
2021-02,Violence against civilians,63,2021-02-01
2021-03,Riots,6,2021-03-01
2021-03,Protests,16,2021-03-01
2021-03,Strategic developments,28,2021-03-01
2021-03,Battles,47,2021-03-01
2021-03,Explosions/Remote violence,15,2021-03-01
2021-03,Violence against civilians,87,2021-03-01
2021-04,Violence against civilians,115,2021-04-01
2021-04,Strategic developments,43,2021-04-01
2021-04,Riots,5,2021-04-01
2021-04,Protests,14,2021-04-01
2021-04,Explosions/Remote violence,32,2021-04-01
2021-04,Battles,60,2021-04-01
2021-05,Battles,55,2021-05-01
2021-05,Explosions/Remote violence,39,2021-05-01
2021-05,Protests,37,2021-05-01
2021-05,Riots,11,2021-05-01
2021-05,Strategic developments,49,2021-05-01
2021-05,Violence against civilians,158,2021-05-01
2021-06,Violence against civilians,133,2021-06-01
2021-06,Strategic developments,55,2021-06-01
2021-06,Riots,6,2021-06-01
2021-06,Protests,23,2021-06-01
2021-06,Explosions/Remote violence,38,2021-06-01
2021-06,Battles,66,2021-06-01
2021-07,Battles,61,2021-07-01
2021-07,Explosions/Remote violence,64,2021-07-01
2021-07,Protests,49,2021-07-01
2021-07,Riots,7,2021-07-01
2021-07,Strategic developments,53,2021-07-01
2021-07,Violence against civilians,172,2021-07-01
2021-08,Violence against civilians,118,2021-08-01
2021-08,Strategic developments,37,2021-08-01
2021-08,Riots,8,2021-08-01
2021-08,Protests,27,2021-08-01
2021-08,Explosions/Remote violence,72,2021-08-01
2021-08,Battles,65,2021-08-01
